species.code,family,genus,species,species.name,tree,woody,origin,pgf,height,sla,wood.dens,dispersal,fruit,seed,reproduction,lifehistory,pollination
chipat,Meliaceae,Chisocheton,patens,Chisocheton patens,yes,yes,n,F,35,167.39,0.48,N,U,2,s,p,i
chipen1p,Meliaceae,Chisocheton,cf. pentandrus ssp. pancijugus,Chisocheton cf. pentandrus ssp. pancijugus,yes,yes,n,F,40,167.39,0.51,N,U,2,s,p,i
chipub,Oleaceae,Chionanthus,pubicalyx,Chionanthus pubicalyx,yes,yes,n,F,40,104.2,0.61,J,W,1,s,p,h
chlere,Chloranthaceae,Chloranthus,erectus,Chloranthus erectus,no,no,n,E,2,208.3,na,N,W,na,s,p,h
chr181,Thelypteridaceae,Christella,sp. TFD181,Christella sp. TFD181,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
chrcon,Thelypteridaceae,Christella,contiguus,Christella contiguus,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
chrodo,Compositae,Chromolaena,odorata,Chromolaena odorata,no,no,e,D,2,957.94,na,Q,R,1,sv,p,g
cis193,Vitaceae,Cissus,sp. TFD193,Cissus sp. TFD193,no,yes,n,G,na,649.83,na,J,S,2,s,p,h
cisang,Vitaceae,Cissus,angustata,Cissus angustata,no,yes,n,G,na,649.83,na,J,S,2,s,p,h
cishas,Vitaceae,Cissus,hastata,Cissus hastata,no,yes,n,G,na,649.83,na,J,S,1,s,p,h
claexc,Rutaceae,Clausena,excavata,Clausena excavata,yes,yes,n,F,15,134.47,0.48,J,S,1,s,p,h
cle065,Phyllanthaceae,Cleistanthus,sp. TFD065,Cleistanthus sp. TFD065,yes,yes,n,F,na,178.22,0.58,J,U,2,s,p,d
clemyr,Phyllanthaceae,Cleistanthus,myrianthus,Cleistanthus myrianthus,yes,yes,n,F,16,178.22,0.54,J,U,2,s,p,d
clemyr1,Phyllanthaceae,Cleistanthus,cf. myrianthus,Cleistanthus cf. myrianthus,yes,yes,n,F,16,178.22,0.54,J,U,2,s,p,d
clepod,Phyllanthaceae,Cleistanthus,podopyxis,Cleistanthus podopyxis,yes,yes,n,F,na,178.22,0.58,J,U,2,s,p,d
clepod1,Phyllanthaceae,Cleistanthus,cf. podopyxis,Cleistanthus cf. podopyxis,yes,yes,n,F,na,178.22,0.58,J,U,2,s,p,d
cleven,Phyllanthaceae,Cleistanthus,venosus,Cleistanthus venosus,yes,yes,n,F,na,178.22,0.58,J,U,2,s,p,d
clihir,Melastomataceae,Clidemia,hirta,Clidemia hirta,no,no,e,E,3,247.98,na,J,S,4,sv,p,d
com041,Combretaceae,Combretum,sp. TFD041,Combretum sp. TFD041,no,yes,n,G,na,137.57,0.8,Q,U,1,s,p,h
comnig,Combretaceae,Combretum,nigrescens,Combretum nigrescens,no,yes,n,G,na,137.57,0.8,Q,U,1,s,p,h
comsun,Combretaceae,Combretum,sundaicum,Combretum sundaicum,no,yes,n,G,na,137.57,0.8,Q,U,1,s,p,h
comunk,Compositae,Unknown,sp.,Unknown sp.,na,na,i,na,na,535.08,na,Q,R,na,s,p,h
conaga,Connaraceae,Connarus,agamae,Connarus agamae,yes,yes,n,F,20,163.15,0.55,N,X,1,s,p,d
congra1,Connaraceae,Connarus,cf. grandis,Connarus cf. grandis,no,yes,n,G,na,163.15,0.55,N,X,1,s,p,d
cos049,Costaceae,Costus,sp. TFD049,Costus sp. TFD049,no,no,n,C,2,332.82,na,J,U,4,sv,p,d
cosfen,Menispermaceae,Coscinium,fenestratum,Coscinium fenestratum,no,yes,n,G,na,184.24,na,N,W,1,s,p,na
cosglo,Costaceae,Costus,globosus,Costus globosus,no,no,n,C,2,216.37,na,J,U,4,sv,p,d
cosglo1,Costaceae,Costus,cf. globosus,Costus cf. globosus,no,no,n,C,2,216.37,na,J,U,4,sv,p,d
cosspe,Costaceae,Costus,speciosus,Costus speciosus,no,no,n,C,2,449.28,na,J,U,4,sv,p,d
cosspe1,Costaceae,Costus,cf. speciosus,Costus cf. speciosus,no,no,n,C,2,449.28,na,J,U,4,sv,p,d
cowbor,Rubiaceae,Cowiea,borneensis,Cowiea borneensis,yes,yes,n,F,9,182.34,na,na,na,na,s,p,h
cro066,Euphorbiaceae,Croton,sp. TFD066,Croton sp. TFD066,yes,yes,n,F,na,182.9,0.55,K,U,2,s,p,i
croarg,Euphorbiaceae,Croton,argyratus,Croton argyratus,yes,yes,n,F,27,182.9,0.66,K,U,2,s,p,i
croobl,Euphorbiaceae,Croton,oblongifolius,Croton oblongifolius,yes,yes,n,F,8,182.9,0.61,K,U,2,s,p,i
croobl3,Euphorbiaceae,Croton,oblongus,Croton oblongus,yes,yes,n,F,19,182.9,0.55,K,U,2,s,p,i
crypanp,Crypteroniaceae,Crypteronia,paniculata var. paniculata,Crypteronia paniculata var. paniculata,yes,yes,n,F,30,137.57,0.66,Q,U,4,s,p,p
cur077,Hypoxidaceae,Curculigo,sp. TFD077,Curculigo sp. TFD077,no,no,n,C,1,223.2,na,na,S,na,sv,na,d
cya012,Annonaceae,Cyathostemma,sp. TFD012,Cyathostemma sp. TFD012,no,yes,n,G,na,168.03,na,J,T,4,s,p,e
cyc182,Thelypteridaceae,Cyclosorus,sp. TFD182,Cyclosorus sp. TFD182,no,no,n,A,2,172.31,na,Q,na,na,v,na,m
cycari,Thelypteridaceae,Cyclosorus,aridus,Cyclosorus aridus,no,no,n,A,2,172.31,na,Q,na,na,v,na,m
cycele,Menispermaceae,Cyclea,elegans,Cyclea elegans,no,yes,n,G,na,164.41,na,N,W,na,s,p,na
cychet,Thelypteridaceae,Cyclosorus,heterocarpus,Cyclosorus heterocarpus,no,no,n,A,2,172.31,na,Q,na,na,v,na,m
cycpar,Thelypteridaceae,Cyclosorus,parasiticus,Cyclosorus parasiticus,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
cynelm,Leguminosae,Cynometra,elmeri,Cynometra elmeri,yes,yes,n,F,25,304.91,0.8,na,Y,2,s,p,h
cynmir,Leguminosae,Cynometra,mirabilis,Cynometra mirabilis,yes,yes,n,F,50,304.91,0.8,na,Y,2,s,p,h
cyp222,Cyperaceae,Cyperus,sp.  TFD222,Cyperus sp.  TFD222,no,no,e,B,0.5,126.53,na,N,R,1,sv,ap,p
cypkyl,Cyperaceae,Cyperus,kyllingia,Cyperus kyllingia,no,no,e,B,0.5,126.53,na,N,R,1,sv,p,p
cypluz,Cyperaceae,Cyperus,luzulae,Cyperus luzulae,no,no,e,B,0.5,126.53,na,N,R,1,sv,p,p
cypunk,Cyperaceae,Unknown,sp.,Unknown sp.,no,no,e,B,na,126.53,na,na,R,1,sv,p,p
