species.code,family,genus,species,species.name,tree,woody,origin,pgf,height,sla,wood.dens,dispersal,fruit,seed,reproduction,lifehistory,pollination
pollat,Annonaceae,Polyalthia,lateriflora,Polyalthia lateriflora,yes,yes,n,F,42,185.03,0.5,N,T,1,s,p,h
polmic,Annonaceae,Polyalthia,microtus,Polyalthia microtus,yes,yes,n,F,13,185.03,0.53,N,T,2,s,p,e
polpan,Polygalaceae,Polygala,paniculata,Polygala paniculata,no,no,e,C,0.5,100.2,na,K,U,2,s,a,d
polsum,Annonaceae,Polyalthia,sumatrana,Polyalthia sumatrana,yes,yes,n,F,23,185.03,0.52,N,T,1,s,p,e
pop246,Annonaceae,Popowia,sp. TFD246,Popowia sp. TFD246,yes,yes,n,F,na,160.78,0.55,N,T,1,s,p,n
popodo,Annonaceae,Popowia,odoardoi,Popowia odoardoi,yes,yes,n,F,10,171.83,0.55,N,T,1,s,p,n
poppis,Annonaceae,Popowia,pisocarpa,Popowia pisocarpa,yes,yes,n,F,12,149.72,0.55,N,T,1,s,p,n
pot026,Araceae,Pothos,sp. TFD026,Pothos sp. TFD026,no,no,n,D,na,223.2,na,J,S,2,s,p,d
potbec,Araceae,Pothos,beccarianus,Pothos sp. TFD026,no,no,n,D,na,223.2,na,J,S,2,s,p,d
potbor1,Araceae,Pothos,cf. borneensis,Unknown sp.,no,no,n,D,na,223.2,na,J,S,2,s,p,d
pou248,Sapotaceae,Pouteria,sp. TFD248,Pouteria sp. TFD248,yes,yes,n,F,na,175.22,0.6,J,S,2,s,p,na
pra161,Rubiaceae,Praravinia,sp. TFD161,Praravinia sp. TFD161,yes,yes,n,F,na,135.92,na,J,S,4,s,p,h
prasub,Rubiaceae,Praravinia,suberosa,Praravinia suberosa,yes,yes,n,F,15,152.54,na,J,S,4,s,p,h
pritet,Rubiaceae,Prismatomeris,tetranda,Prismatomeris tetranda,yes,yes,n,F,8,196.22,na,J,W,2,s,p,h
pro185,Thelypteridaceae,Pronephrium,sp. TFD185,Pronephrium sp. TFD185,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
proasp,Thelypteridaceae,Pronephrium,asperum,Pronephrium asperum,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
pru151,Rosaceae,Prunus,sp. TFD151,Prunus sp. TFD151,yes,yes,n,F,na,166.73,0.53,J,W,1,s,p,h
pruarb,Rosaceae,Prunus,arborea,Prunus arborea,yes,yes,n,F,40,166.73,0.46,J,W,1,s,p,h
pselap,Acanthaceae,Pseuderanthemum,lapathifolium,Pseuderanthemum lapathifolium,no,no,n,E,2,207.18,na,L,U,4,s,p,h
psyelm,Rubiaceae,Psychotria,elmeri,Psychotria elmeri,no,yes,n,G,na,75.41,0.45,J,W,2,s,p,h
pte107,Malvaceae,Pterospermum,sp. TFD107,Pterospermum sp. TFD107,yes,yes,n,F,na,235.78,0.52,na,U,4,s,p,h
pte114,Melastomataceae,Pternandra,sp. TFD114,Pternandra sp. TFD114,yes,yes,n,F,na,172.84,0.53,N,S,4,s,p,h
pte195,Vitaceae,Pterisanthes,sp. TFD195,Pterisanthes sp. TFD195,no,yes,n,G,na,442.62,na,J,S,na,s,p,h
ptecog,Melastomataceae,Pternandra,cogniauxii,Pternandra cogniauxii,yes,yes,n,F,6,172.84,0.53,N,S,4,s,p,h
pteelo1,Malvaceae,Pterospermum,cf. elongatum,Pterospermum cf. elongatum,yes,yes,n,F,na,235.78,0.52,na,U,4,s,p,h
ptesub,Malvaceae,Pterospermum,subpeltatum,Pterospermum subpeltatum,yes,yes,n,F,na,235.78,0.52,na,U,4,s,p,h
ptesub1,Malvaceae,Pterospermum,cf. subpeltatum,Pterospermum cf. subpeltatum,yes,yes,n,F,na,235.78,0.52,na,U,4,s,p,h
ptetri,Pteridaceae,Pteris,tripartita,Pteris tripartita,no,no,n,A,2,172.31,na,Q,na,na,v,p,m
quearg1,Fagaceae,Quercus,cf. argentata,Quercus cf. argentata,yes,yes,n,F,40,156.46,0.74,J,Z,1,s,p,p
rha254,Araceae,Rhaphidophora,sp. TFD254,Unknown sp.,no,no,n,D,na,223.2,na,J,S,4,s,p,i
rhagra,Araceae,Rhaphidophora,gracilipes,Unknown sp.,no,no,n,D,1,223.2,na,J,S,4,s,p,i
rhalat,Araceae,Rhaphidophora,latevaginata,Pothos sp. TFD026,no,no,n,D,na,223.2,na,J,S,4,s,p,i
rhaunk,Rhamnaceae,Unknown,sp.,Unknown sp.,na,na,i,na,na,161.32,na,na,na,na,s,p,na
rinlon1,Violaceae,Rinorea,cf. longiracemosa,Rinorea cf. longiracemosa,yes,yes,n,F,na,177.1,0.67,na,U,2,s,p,h
rot237,Rubiaceae,Rothmannia,sp. TFD237,Rothmannia sp. TFD237,yes,yes,n,F,na,182.34,0.64,na,na,4,s,p,h
roumim,Connaraceae,Rourea,mimosoides,Rourea mimosoides,no,yes,n,G,na,163.15,na,N,X,1,s,p,h
roumin1,Connaraceae,Rourea,cf. minor,Rourea cf. minor,no,yes,n,G,na,163.15,na,N,X,1,s,p,h
rubcle,Rosaceae,Rubus,clementis,Rubus clementis,no,yes,n,G,na,166.73,0.35,N,W,1,s,p,h
rubmol,Rosaceae,Rubus,moluccanus,Rubus moluccanus,no,yes,n,G,na,166.73,0.35,N,W,1,sv,p,h
rubunk,Rubiaceae,Unknown,sp.,Unknown sp.,na,na,i,na,na,182.34,na,na,na,na,s,na,h
ryphul,Achariaceae,Ryparosa,hullettii,Ryparosa hullettii,yes,yes,n,F,10,134.34,0.61,J,S,na,s,p,h
sal038,Celastraceae,Salacia,sp. TFD038,Salacia sp. TFD038,yes,yes,n,F,na,110.56,0.76,J,W,3,s,p,h
sarpan,Icacinaceae,Sarcostigma,paniculata,Sarcostigma paniculata,no,yes,n,G,na,138.09,na,na,na,na,s,p,na
sau007,Actinidiaceae,Saurauia,sp. TFD007,Saurauia sp. TFD007,yes,yes,n,F,na,251.22,0.43,J,S,4,s,p,d
sauaga,Actinidiaceae,Saurauia,agamae,Saurauia agamae,yes,yes,n,F,8,251.22,0.43,J,S,4,s,p,d
sauaga1,Actinidiaceae,Saurauia,cf. agamae,Saurauia cf. agamae,yes,yes,n,F,8,251.22,0.43,J,S,4,s,p,d
saufer,Actinidiaceae,Saurauia,ferox,Saurauia ferox,yes,yes,n,F,10,251.22,0.43,J,S,4,s,p,d
saulon,Actinidiaceae,Saurauia,longistyla,Saurauia longistyla,yes,yes,n,F,12,251.22,0.43,J,S,4,s,p,d
sauobl,Actinidiaceae,Saurauia,oblancifolia,Saurauia oblancifolia,yes,yes,n,F,4,251.22,0.43,J,S,4,s,p,d
scamac,Malvaceae,Scaphium,macropodum,Scaphium macropodum,yes,yes,n,F,41,205.75,0.53,Q,X,1,s,p,d
schdic,Schizaeaceae,Schizaea,dichotoma,Schizaea dichotoma,no,no,n,A,0.5,203.46,na,Q,na,na,v,p,m
sci028,Araceae,Scindapsus,sp. TFD028,Scindapsus sp. TFD028,no,no,n,D,na,223.2,na,J,S,na,s,p,h
scipic,Araceae,Scindapsus,pictus,Pothos sp. TFD026,no,no,n,D,na,223.2,na,J,S,na,s,p,h
scipic1,Araceae,Scindapsus,cf. pictus,Scindapsus cf. pictus,no,no,n,D,na,223.2,na,J,S,na,s,p,h
scl051,Cyperaceae,Scleria,sp. TFD051,Scleria sp. TFD051,no,no,e,B,na,126.53,na,na,R,1,sv,ap,p
scllev,Cyperaceae,Scleria,levis,Scleria levis,no,no,e,B,1,126.53,na,na,R,1,sv,p,p
sclsum,Cyperaceae,Scleria,sumatrensis,Scleria sumatrensis,no,no,n,B,2,126.53,na,na,R,1,sv,p,p
scospi,Salicaceae,Scolopia,spinosa,Scolopia spinosa,yes,yes,n,F,15,109.82,0.74,J,S,na,s,p,na
sel225,Polypodiaceae,Selliguea,sp. TFD225,Selligueae sp. TFD225,no,no,n,A,0.5,172.31,na,Q,na,na,v,p,m
selobs,Hymenophyllaceae,Selenodesmium,obscurum,Selenodesmium obscurum,no,no,n,A,0.5,172.31,na,Q,na,na,v,na,m
sem209,Acanthaceae,Semnostachys,sp. TFD209,Semnostachys sp. TFD209,no,no,n,E,na,207.18,na,L,U,4,s,p,h
sho059,Dipterocarpaceae,Shorea,sp. TFD059,Shorea sp. TFD059,yes,yes,n,F,na,170.98,0.57,Q,Z,1,s,p,e
shoaga1,Dipterocarpaceae,Shorea,cf. agari,Shorea cf. agari,yes,yes,n,F,na,170.98,0.57,Q,Z,1,s,p,e
shoagaa,Dipterocarpaceae,Shorea,agamii ssp. agamii,Shorea agamii ssp. agamii,yes,yes,n,F,50,170.98,0.53,Q,Z,1,s,p,e
shoang,Dipterocarpaceae,Shorea,angustifolia,Shorea angustifolia,yes,yes,n,F,40,90.95,0.57,Q,Z,1,s,p,e
shoang1,Dipterocarpaceae,Shorea,cf. angustifolia,Shorea cf. angustifolia,yes,yes,n,F,40,90.95,0.57,Q,Z,1,s,p,e
shoatr,Dipterocarpaceae,Shorea,atrinervosa,Shorea atrinervosa,yes,yes,n,F,50,118.9,0.77,Q,Z,1,s,p,e
shodry1,Dipterocarpaceae,Shorea,cf. dryobalanoides,Shorea cf. dryobalanoides,yes,yes,n,F,na,170.98,0.57,Q,Z,1,s,p,e
shogui,Dipterocarpaceae,Shorea,guiso,Shorea guiso,yes,yes,n,F,60,162.06,0.71,Q,Z,1,s,p,e
shogui1,Dipterocarpaceae,Shorea,cf. guiso,Shorea cf. guiso,yes,yes,n,F,60,162.06,0.69,Q,Z,1,s,p,e
sholae,Dipterocarpaceae,Shorea,laevis,Shorea laevis,yes,yes,n,F,70,283.93,0.69,Q,Z,1,s,p,e
sholep,Dipterocarpaceae,Shorea,leprosula,Shorea leprosula,yes,yes,n,F,60,206.5,0.44,Q,Z,1,s,p,e
shomac1,Dipterocarpaceae,Shorea,cf. macrophylla,Shorea cf. macrophylla,yes,yes,n,F,45,170.98,0.32,Q,Z,1,s,p,e
shomac3,Dipterocarpaceae,Shorea,macroptera,Shorea macroptera,yes,yes,n,F,50,153.93,0.43,Q,Z,1,s,p,h
shoobs1,Dipterocarpaceae,Shorea,cf. obscura,Shorea cf. obscura,yes,yes,n,F,60,170.98,0.57,Q,Z,1,s,p,e
shoova,Dipterocarpaceae,Shorea,ovata,Shorea ovata,yes,yes,n,F,50,190.53,0.64,Q,Z,1,s,p,e
shopar,Dipterocarpaceae,Shorea,parvifolia,Shorea parvifolia,yes,yes,n,F,65,170.98,0.41,Q,Z,1,s,p,e
shopar3,Dipterocarpaceae,Shorea,parvistipulata,Shorea parvistipulata,yes,yes,n,F,70,224.09,0.4,Q,Z,1,s,p,e
shopau1,Dipterocarpaceae,Shorea,cf. pauciflora,Shorea cf. pauciflora,yes,yes,n,F,60,170.98,0.63,Q,Z,1,s,p,e
shopil,Dipterocarpaceae,Shorea,pilosa,Shorea pilosa,yes,yes,n,F,na,156.61,0.57,Q,Z,1,s,p,e
shoscr,Dipterocarpaceae,Shorea,scrobiculata,Shorea scrobiculata,yes,yes,n,F,40,186.17,0.81,Q,Z,1,s,p,e
shoscr1,Dipterocarpaceae,Shorea,cf. scrobiculata,Shorea cf. scrobiculata,yes,yes,n,F,40,186.17,0.81,Q,Z,1,s,p,e
sinirp,Leguminosae,Sindora,irpicina,Sindora irpicina,yes,yes,n,F,40,304.91,0.48,na,Y,2,s,p,i
smi178,Smilacaceae,Smilax,sp. TFD178,Smilax sp. TFD178,no,yes,n,G,na,223.2,na,J,S,2,s,p,h
spa098,Leguminosae,Spatholobus,sp. TFD098,Spatholobus sp. TFD098,no,yes,n,G,na,211.84,0.47,na,Y,1,s,p,d
spagyr,Leguminosae,Spatholobus,gyrocarpus,Spatholobus gyrocarpus,no,yes,n,G,na,211.84,0.47,na,Y,1,s,p,d
spagyr1,Leguminosae,Spatholobus,cf. gyrocarpus,Spatholobus cf. gyrocarpus,no,yes,n,G,na,211.84,0.47,na,Y,1,s,p,d
spahir1,Leguminosae,Spatholobus,cf. hirsutus,Spatholobus cf. hirsutus,no,yes,n,G,na,211.84,0.47,na,Y,1,s,p,d
spalat,Leguminosae,Spatholobus,latistipulus,Spatholobus latistipulus,no,yes,n,G,na,211.84,0.47,na,Y,1,s,p,d
spalat1,Leguminosae,Spatholobus,cf. latistipulus,Spatholobus cf. latistipulus,no,yes,n,G,na,211.84,0.47,na,Y,1,s,p,d
spamac,Leguminosae,Spatholobus,macropterus,Spatholobus macropterus,no,yes,n,G,na,211.84,0.47,na,Y,1,s,p,d
spamai,Leguminosae,Spatholobus,maingayi,Spatholobus maingayi,no,yes,n,G,na,211.84,0.47,na,Y,1,s,p,d
spamai1,Leguminosae,Spatholobus,cf. maingayi,Spatholobus cf. maingayi,no,yes,n,G,na,211.84,0.47,na,Y,1,s,p,d
spavir1,Leguminosae,Spatholobus,cf. viridis,Spatholobus cf. viridis,no,yes,n,G,na,211.84,0.47,na,Y,1,s,p,d
spe163,Rubiaceae,Spermacoce,sp. TFD163,Spermacoce sp. TFD163,no,no,n,E,na,182.34,na,na,U,na,s,na,h
sph082,Lamiaceae,Sphenodesme,sp. TFD082,Sphenodesma sp. TFD082,no,yes,n,G,na,275.6,na,J,W,2,s,p,d
sph187,Thelypteridaceae,Sphaerostephanos,sp. TFD187,Sphaerostephanos sp. TFD187,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
sphhet,Thelypteridaceae,Sphaerostephanos,heterocarpus,Sphaerostephanos heterocarpus,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
sphoos,Thelypteridaceae,Sphaerostephanos,oosorus,Sphaerostephanos oosorus,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
sphoos1,Thelypteridaceae,Sphaerostephanos,cf. oosorus,Sphaerostephanos cf. oosorus,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
sphper,Thelypteridaceae,Sphaerostephanos,perglanduliferus,Sphaerostephanos perglanduliferus,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
sphper1,Thelypteridaceae,Sphaerostephanos,cf. perglanduliferus,Sphaerostephanos cf. perglanduliferus,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
sphpor,Thelypteridaceae,Sphaerostephanos,porphyricola,Sphaerostephanos porphyricola,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
sphrac1s,Lamiaceae,Sphenodesme,cf. racemosa var. sabahensis,Sphenodesme cf. racemosa var. sabahensis,no,yes,n,G,na,275.6,na,J,W,2,s,p,d
sphste,Lamiaceae,Sphenodesme,stellata,Sphenodesme stellata,no,yes,n,G,na,275.6,na,J,W,2,s,p,d
sphste1,Lamiaceae,Sphenodesme,cf. stellata,Sphenodesme cf. stellata,no,yes,n,G,na,275.6,na,J,W,2,s,p,d
stasum,Marantaceae,Stachyphrynium,sumatranum,Unknown sp.,no,no,n,C,1,332.82,na,na,U,2,s,p,d
ste118,Menispermaceae,Stephania,sp. TFD118,Stephania sp. TFD118,no,yes,n,G,na,181.46,na,N,W,na,s,p,na
stecor,Menispermaceae,Stephania,corymbosa,Stephania corymbosa,no,yes,n,G,na,181.46,na,N,W,na,s,p,na
stemal,Stemonaceae,Stemonorus,malaccensis,Stemonorus malaccensis,yes,yes,n,F,na,223.2,na,na,na,na,s,p,h
sterubs,Malvaceae,Sterculia,rubiginosa var. setistipula,Sterculia rubiginosa var. setistipula,yes,yes,n,F,7,138.56,0.36,na,X,4,s,p,e
stitrut,Gleicheniaceae,Sticherus,truncatus var. truncatus,Sticherus truncatus var. truncatus,no,no,n,A,3,172.31,na,Q,na,na,v,na,m
str099,Loganiaceae,Strychnos,sp. TFD099,Strychnos sp. TFD099,no,yes,n,G,na,174.21,0.75,J,S,3,s,p,h
strbra,Rubiaceae,Streblosa,bracteata,Streblosa bracteata,na,na,n,na,na,182.34,na,na,na,na,s,na,h
strign,Loganiaceae,Strychnos,ignatii,Strychnos ignatii,no,yes,n,G,na,174.21,0.75,J,S,3,s,p,h
strign1,Loganiaceae,Strychnos,cf. ignatii,Strychnos cf. ignatii,no,yes,n,G,na,174.21,0.75,J,S,3,s,p,h
strmac,Moraceae,Streblus,macrophyllus,Streblus macrophyllus,yes,yes,n,F,10,136.2,0.72,J,W,1,s,p,na
strpol,Loganiaceae,Strychnos,polytrichantha,Strychnos polytrichantha,no,yes,n,G,na,174.21,0.75,J,S,3,s,p,h
sym179,Symplocaceae,Symplocos,sp. TFD179,Symplocos sp. TFD179,yes,yes,n,F,na,188.98,0.61,N,W,na,s,p,h
symfas,Symplocaceae,Symplocos,fasciculata,Symplocos fasciculata,yes,yes,n,F,22,188.98,0.3,N,W,1,s,p,h
symfas1,Symplocaceae,Symplocos,cf. fasciculata,Symplocos cf. fasciculata,yes,yes,n,F,22,188.98,0.3,N,W,na,s,p,h
syz124,Myrtaceae,Syzygium,sp. TFD124,Syzygium sp. TFD124,yes,yes,n,F,na,117.74,0.61,J,W,1,s,p,na
syzbar,Myrtaceae,Syzygium,barringtonioides,Syzygium barringtonioides,yes,yes,n,F,18,107.75,0.61,J,W,1,s,p,na
syzcas,Myrtaceae,Syzygium,castaneum,Syzygium castaneum,yes,yes,n,F,16,98.95,0.61,J,W,1,s,p,na
syzchr1,Myrtaceae,Syzygium,cf. chrysanthum,Syzygium cf. chrysanthum,yes,yes,n,F,na,117.74,0.61,J,W,1,s,p,na
syzfas,Myrtaceae,Syzygium,fastigiatum,Syzygium fastigiatum,yes,yes,n,F,25,117.74,0.61,J,W,1,s,p,na
syzpen,Myrtaceae,Syzygium,penibukanense,Syzygium penibukanense,yes,yes,n,F,15,89.58,0.61,J,W,1,s,p,na
syzrac,Myrtaceae,Syzygium,racemosum,Syzygium racemosum,yes,yes,n,F,30,79.23,0.91,J,W,1,s,p,na
syzros,Myrtaceae,Syzygium,rostratum,Syzygium rostratum,yes,yes,n,F,15,133.51,0.75,J,W,1,s,p,na
syzval,Myrtaceae,Syzygium,valdevenosa,Syzygium valdevenosa,yes,yes,n,F,20,117.74,0.61,J,W,1,s,p,na
tapacu,Dennstaedtiaceae,Tapeinidium,acuminatum,Tapeinidium acuminatum,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
tec062,Dryopteridaceae,Tectaria,sp. TFD062,Tectaria sp. TFD062,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
tecdec1,Dryopteridaceae,Tectaria,cf. decurrens,Tectaria cf. decurrens,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
tecple,Dryopteridaceae,Tectaria,pleiosora,Tectaria pleiosora,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
tecter,Dryopteridaceae,Tectaria,ternata,Tectaria ternata,no,no,n,A,1,172.31,na,Q,na,na,v,na,m
teipte,Lamiaceae,Teijsmanniodendron,pteropodum,Teijsmanniodendron pteropodum,yes,yes,n,F,10,275.6,0.39,Q,Z,1,s,p,h
tet055,Dilleniaceae,Tetracera,sp. TFD055,Tetracera sp. TFD055,no,yes,n,G,na,126.8,na,N,X,3,s,p,d
tet196,Vitaceae,Tetrastigma,sp. TFD196,Tetrastigma sp. TFD196,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
tetaka,Dilleniaceae,Tetracera,akara,Tetracera akara,no,yes,n,G,na,103.6,na,N,X,3,s,p,d
tetaka1,Dilleniaceae,Tetracera,cf. akara,Tetracera cf. akara,no,yes,n,G,na,103.6,na,N,X,3,s,p,d
tetdie,Vitaceae,Tetrastigma,diepenhorstii,Tetrastigma diepenhorstii,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
tetdie1,Vitaceae,Tetrastigma,cf. diepenhorstii,Tetrastigma cf. diepenhorstii,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
tetkor,Dilleniaceae,Tetracera,korthalsii,Tetracera korthalsii,no,yes,n,G,na,149.99,na,N,X,3,s,p,d
tetkor1,Dilleniaceae,Tetracera,cf. korthalsii,Tetracera cf. korthalsii,no,yes,n,G,na,149.99,na,N,X,3,s,p,d
tetlan,Vitaceae,Tetrastigma,lanceolarium,Tetrastigma lanceolarium,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
tetpap,Vitaceae,Tetrastigma,papillosum,Tetrastigma papillosum,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
tetped,Vitaceae,Tetrastigma,pedunculare,Tetrastigma pedunculare,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
tetped1,Vitaceae,Tetrastigma,cf. pedunculare,Tetrastigma cf. pedunculare,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
tettub1,Vitaceae,Tetrastigma,cf. tuberculatum,Tetrastigma cf. tuberculatum,no,yes,n,G,na,442.62,na,J,S,2,s,p,h
the188,Thelypteridaceae,Thelypteris,sp. TFD188,Thelypteris sp. TFD188,no,no,i,A,2,172.31,na,Q,na,na,v,na,m
thotri,Aristolochiaceae,Thottea,triserialis,Thottea triserialis,no,yes,n,H,na,169.38,na,na,U,4,s,p,j
tinpet,Menispermaceae,Tinomiscium,petiolore,Tinomiscium petiolore,no,yes,n,G,na,181.46,na,N,W,na,s,p,h
tri050,Cucurbitaceae,Trichosanthes,sp. TFD050,Trichosanthes sp. TFD050,no,no,n,D,na,251.13,na,J,S,4,s,ap,k
tri070,Euphorbiaceae,Trigonostemon,sp. TFD070,Trigonostemon sp. TFD070,yes,yes,n,F,na,181.76,na,na,U,2,s,p,h
tri125,Myrtaceae,Tristaniopsis,sp. TFD125,Tristaniopsis sp. TFD125,yes,yes,n,F,na,117.74,0.61,na,U,4,s,p,na
tribec,Cucurbitaceae,Trichosanthes,beccariana,Trichosanthes beccariana,no,no,n,D,na,251.13,na,J,S,4,s,p,k
trihyp,Trigoniaceae,Trigoniastrum,hypoleucum,Trigoniastrum hypoleucum,yes,yes,n,F,30,391.55,0.7,Q,b,1,s,p,d
tripen,Cucurbitaceae,Trichosanthes,pendula,Trichosanthes pendula,no,no,n,D,na,251.13,na,J,S,4,s,p,k
tripol,Euphorbiaceae,Trigonostemon,polyanthus,Trigonostemon polyanthus,yes,yes,n,F,5,181.76,na,na,U,2,s,p,h
tripos,Cucurbitaceae,Trichosanthes,postarii,Trichosanthes postarii,no,no,n,D,na,251.13,na,J,S,4,s,p,k
unc166,Rubiaceae,Uncaria,sp. TFD166,Uncaria sp. TFD166,no,yes,n,G,na,202.19,na,Q,U,4,s,p,i
uncbor,Rubiaceae,Uncaria,borneensis,Uncaria borneensis,no,yes,n,G,na,202.19,na,Q,U,4,s,p,i
uncbor1,Rubiaceae,Uncaria,cf. borneensis,Uncaria cf. borneensis,no,yes,n,G,na,202.19,na,Q,U,4,s,p,i
uncfer,Rubiaceae,Uncaria,ferrea,Uncaria ferrea,no,yes,n,G,na,239.89,na,Q,U,4,s,p,i
uncgla,Rubiaceae,Uncaria,glabrata,Uncaria glabrata,no,yes,n,G,na,208.64,na,Q,U,4,s,p,i
unclon,Rubiaceae,Uncaria,longiflora,Uncaria longiflora,no,yes,n,G,na,125.27,na,Q,U,4,s,p,i
uro167,Rubiaceae,Urophyllum,sp. TFD167,Urophyllum sp. TFD167,yes,yes,n,F,na,193.01,0.48,J,S,4,s,p,d
urogla,Rubiaceae,Urophyllum,glabrum,Urophyllum glabrum,yes,yes,n,F,10,153.83,0.48,J,S,4,s,p,d
urogri,Rubiaceae,Urophyllum,griffithianum,Urophyllum griffithianum,yes,yes,n,F,15,193.01,0.48,J,S,4,s,p,d
uva020,Annonaceae,Uvaria,sp. TFD020,Uvaria sp. TFD020,no,yes,n,G,na,111.64,na,J,T,4,s,p,h
uvagra,Annonaceae,Uvaria,grandiflora,Uvaria grandiflora,no,yes,n,G,na,111.64,na,J,T,4,s,p,h
uvalit,Annonaceae,Uvaria,littoralis,Uvaria littoralis,no,yes,n,G,na,111.64,na,N,T,4,s,p,h
uvalur,Annonaceae,Uvaria,lurida,Uvaria lurida,no,yes,n,G,na,111.64,na,J,T,3,s,p,h
vatalb,Dipterocarpaceae,Vatica,albiramis,Vatica albiramis,yes,yes,n,F,25,155.05,0.71,Q,Z,1,s,p,e
vatmic,Dipterocarpaceae,Vatica,micrantha,Vatica micrantha,yes,yes,n,F,28,155.05,0.75,Q,Z,1,s,p,e
vatsar,Dipterocarpaceae,Vatica,sarawakensis,Vatica sarawakensis,yes,yes,n,F,25,155.05,0.71,Q,Z,1,s,p,i
vendic,Rhamnaceae,Ventilago,dichotoma,Ventilago dichotoma,no,yes,n,G,na,270.28,na,Q,a,1,s,p,d
verarb,Compositae,Vernonia,arborea,Vernonia arborea,yes,yes,n,F,26,535.08,0.33,Q,R,1,s,p,d
vitves,Lamiaceae,Vitex,vestita,Vitex vestita,yes,yes,n,F,15,275.6,0.46,Q,W,2,s,p,d
wilcor,Apocynaceae,Willughbeia,coriacea,Willughbeia coriacea,no,yes,n,G,na,186.6,na,J,S,3,s,p,na
wilsar1,Apocynaceae,Willughbeia,cf. sarawakensis,Willughbeia cf. sarawakensis,no,yes,n,G,na,186.6,na,J,S,3,s,p,na
xan143,Polygalaceae,Xanthophyllum,sp. TFD143,Xanthophyllum sp. TFD143,yes,yes,n,F,na,178.66,0.71,J,W,1,s,p,d
xanadea,Polygalaceae,Xanthophyllum,adenotus var. adenotus,Xanthophyllum adenotus var. adenotus,yes,yes,n,F,8,126.12,0.71,J,W,1,s,p,d
xanfla,Polygalaceae,Xanthophyllum,flavescens,Xanthophyllum flavescens,yes,yes,n,F,42,126.8,0.69,J,W,1,s,p,d
xanfla1,Polygalaceae,Xanthophyllum,cf. flavescens,Xanthophyllum cf. flavescens,yes,yes,n,F,42,126.8,0.69,J,W,1,s,p,d
xanvit,Polygalaceae,Xanthophyllum,vitellinum,Xanthophyllum vitellinum,yes,yes,n,F,41,178.66,0.73,J,W,1,s,p,d
xylste,Annonaceae,Xylopia,stenopetala,Xylopia stenopetala,yes,yes,n,F,39,178.45,0.56,J,S,3,s,p,na
zinunk,Zingiberaceae,Unknown,sp.,Unknown sp.,no,no,n,C,na,332.82,na,N,U,na,sv,p,na
ziz150,Rhamnaceae,Ziziphus,sp. TFD150,Ziziphus sp. TFD150,no,yes,n,G,na,265.49,0.77,J,W,1,s,p,h
zizang,Rhamnaceae,Ziziphus,angustifolius,Ziziphus angustifolius,yes,yes,n,F,30,177.04,0.77,J,W,1,s,p,h
zizcal,Rhamnaceae,Ziziphus,calophylla,Ziziphus calophylla,no,yes,n,G,na,265.49,0.77,J,W,1,s,p,h
zizhav,Rhamnaceae,Ziziphus,havilandii,Ziziphus havilandii,no,yes,n,G,na,452.48,0.77,J,W,1,s,p,h
zizhor,Rhamnaceae,Ziziphus,horsfieldii,Ziziphus horsfieldii,no,yes,n,G,na,254.12,0.77,J,W,1,s,p,h
zizhor1,Rhamnaceae,Ziziphus,cf. horsfieldii,Ziziphus cf. horsfieldii,no,yes,n,G,na,254.12,0.77,J,W,1,s,p,h
